date,price,ma_50,ma_200,regime,ma_cross
2020-05-28,280.08837890625,,,Bear,Death
2020-05-29,281.3364562988281,,,Bear,Death
2020-06-01,282.47344970703125,,,Bear,Death
2020-06-02,284.8123779296875,,,Bear,Death
2020-06-03,288.6027526855469,,,Bear,Death
2020-06-04,287.8447265625,,,Bear,Death
2020-06-05,295.22198486328125,,,Bear,Death
2020-06-08,298.79052734375,,,Bear,Death
2020-06-09,296.5625305175781,,,Bear,Death
2020-06-10,294.90771484375,,,Bear,Death
2020-06-11,277.9066467285156,,,Bear,Death
2020-06-12,281.23468017578125,,,Bear,Death
2020-06-15,283.8601989746094,,,Bear,Death
2020-06-16,289.3238525390625,,,Bear,Death
2020-06-17,288.1220397949219,,,Bear,Death
2020-06-18,288.2330322265625,,,Bear,Death
2020-06-19,286.5857238769531,,,Bear,Death
2020-06-22,288.4242553710937,,,Bear,Death
2020-06-23,289.7521057128906,,,Bear,Death
2020-06-24,282.3609313964844,,,Bear,Death
2020-06-25,285.3879089355469,,,Bear,Death
2020-06-26,278.6095886230469,,,Bear,Death
2020-06-29,282.7044372558594,,,Bear,Death
2020-06-30,286.32574462890625,,,Bear,Death
2020-07-01,288.3314514160156,,,Bear,Death
2020-07-02,289.9192810058594,,,Bear,Death
2020-07-06,294.39483642578125,,,Bear,Death
2020-07-07,291.35845947265625,,,Bear,Death
2020-07-08,293.5869445800781,,,Bear,Death
2020-07-09,291.91558837890625,,,Bear,Death
2020-07-10,294.8962097167969,,,Bear,Death
2020-07-13,292.3427124023437,,,Bear,Death
2020-07-14,296.1311950683594,,,Bear,Death
2020-07-15,298.8518371582031,,,Bear,Death
2020-07-16,297.8675842285156,,,Bear,Death
2020-07-17,298.7311096191406,,,Bear,Death
2020-07-20,301.14532470703125,,,Bear,Death
2020-07-21,301.7860107421875,,,Bear,Death
2020-07-22,303.5038146972656,,,Bear,Death
2020-07-23,299.8824768066406,,,Bear,Death
2020-07-24,297.9510803222656,,,Bear,Death
2020-07-27,300.1239318847656,,,Bear,Death
2020-07-28,298.22039794921875,,,Bear,Death
2020-07-29,301.8881225585937,,,Bear,Death
2020-07-30,300.8110656738281,,,Bear,Death
2020-07-31,303.1880798339844,,,Bear,Death
2020-08-03,305.2958679199219,,,Bear,Death
2020-08-04,306.4751892089844,,,Bear,Death
2020-08-05,308.3786926269531,,,Bear,Death
2020-08-06,310.4399719238281,292.93778564453123,,Bear,Death
2020-08-07,310.6629333496094,293.5492767333984,,Bear,Death
2020-08-10,311.5914611816406,294.15437683105466,,Bear,Death
2020-08-11,309.0194091796875,294.6852960205078,,Bear,Death
2020-08-12,313.3277587890625,295.2556036376953,,Bear,Death
2020-08-13,312.7613830566406,295.7387762451172,,Bear,Death
2020-08-14,312.77069091796875,296.23729553222654,,Bear,Death
2020-08-17,313.76422119140625,296.60814025878904,,Bear,Death
2020-08-18,314.442138671875,296.9211724853516,,Bear,Death
2020-08-19,313.1327819824219,297.25257751464846,,Bear,Death
2020-08-20,314.1077575683594,297.63657836914064,,Bear,Death
2020-08-21,315.2221374511719,298.38288818359376,,Bear,Death
