date,AAPL,MSFT,GOOGL,NVDA,META,AVGO,ADBE,CRM,ORCL,CSCO,JPM,BAC,WFC,GS,MS,C,BLK,SCHW,AXP,USB,UNH,JNJ,LLY,ABBV,MRK,PFE,TMO,ABT,DHR,AMGN,AMZN,TSLA,WMT,HD,MCD,NKE,SBUX,TGT,LOW,TJX,XOM,CVX,COP,BA,CAT,RTX,HON,UPS,GE,DE,SPY,QQQ,IWM,EFA,AGG
2020-05-28,133560800,33810200,35170000,734896000,29377200,18543000,2903600,10275200,9465400,20013000,24713900,84340800,51490200,4886100,17615900,37972800,1132800,8760900,9268200,9030100,4387700,6189600,3982700,8765900,13180906,22521767,1290400,5316300,3483715,2591000,63804000,108834000,24424800,5259300,3567600,7260700,8331400,6137300,7994100,10447400,19698000,9633300,5871500,34734300,3743700,12683200,3694190,5460800,27831269,1914700,90405200,42784300,42105000,40630200,11140200
2020-05-29,153532400,42130400,37044000,745256000,23241500,27300000,5892000,19588900,14734800,43553600,26526400,113811100,51336900,3822600,13102100,35873400,1159300,14247600,7710900,18241700,6251500,8504000,9466300,13758800,13517104,48333067,1548800,10138500,6010999,4251200,70198000,176467500,29311200,5341600,5717200,10332500,10043600,8705900,7402000,13006100,25874700,17010000,10172200,33853900,4219000,13950600,4387235,5962400,25942336,2249000,119090800,50691800,41536400,47437100,9228700
2020-06-01,80791200,22622400,25162000,389876000,18223800,18444000,2034100,5711600,7363200,18712400,15176800,58375500,34201700,2230800,8649500,22860100,668000,7469800,4269500,6594300,2894000,6141800,5233800,8486500,6269241,76884979,845700,5451600,1705762,1816700,58578000,224092500,20550300,3407800,2168200,4295400,7922000,6020100,5136200,6906200,19031000,7344000,6344300,27127300,2131300,11314000,2197437,2510300,15083601,1464600,55758300,25776000,25567500,30195300,5580000
2020-06-02,87642800,30794600,23442000,391320000,20919000,31847000,2509600,8571800,8756300,17285900,21195000,71118100,39058000,4128700,11179200,27651300,846800,6232800,5433800,6596500,2756800,6078300,3269400,9413300,11352984,42690900,1166500,6394100,3338090,3198900,50598000,203484000,19187700,5301000,3125500,10798700,9521000,5144600,6023200,9785500,22319000,7880300,5858300,24780500,2977500,14938400,3846974,2860500,22787385,1335400,74267200,33383400,24666200,31663000,4286800
2020-06-03,104491200,27311000,27732000,365440000,15380300,31926000,2537100,6004000,9188700,17492000,25941100,86744600,50814000,3471900,11253500,33341800,1071500,9672100,7301000,9656100,4360000,6339500,3190300,8588400,13675457,38751996,1209700,8056300,4584869,3660500,53420000,119242500,20262900,4638100,3881500,5867700,9956700,5815800,4585200,7033800,23418000,8440200,8024200,66486400,3712600,15875900,3175255,3633800,24642090,1678800,92567600,37228700,36111700,29773100,6077600
2020-06-04,87560400,28761800,26982000,424280000,17041500,34997000,2422600,7301600,9696000,14100700,26784700,94545300,61839200,3522300,15279600,33083500,913400,26855900,5841600,9142500,4374300,8170500,3328700,9525700,9292930,27013388,1763500,9113600,2932462,2392800,58974000,133315500,24015000,4759400,3469100,8775000,7667600,3963600,7448700,14901700,18731400,6371700,5577000,67155600,3076700,10135000,3998060,2768400,25118482,1469900,75794400,38716100,28904700,26190300,5002700
2020-06-05,137250400,39893600,42642000,481748000,16750400,50958000,2793700,8232200,12210100,22591100,42231000,118767900,107651200,4737600,17976100,44648500,1438000,20489900,10097600,12586800,5554300,9725400,4578800,9630100,10413347,36705655,1712100,11874500,3422578,3714600,66128000,117178500,39337200,5054300,4728300,8363600,12030800,4578800,5550400,11740000,41328900,12760100,11578800,99846000,5591900,14203100,4800919,5026800,33669153,2061200,150524700,47365600,53513400,31208000,5166300
2020-06-08,95654400,33211600,33878000,387736000,15466500,23916000,2593000,4592600,11519500,17820900,24881800,79598500,69051300,3260300,12150300,32587100,1133400,12200400,6795200,10445800,4635500,7555600,4076400,6621400,9956838,30194149,1314800,5426800,3179832,2270500,79414000,212620500,28344300,3811900,4443900,6165400,10229600,3578400,4951600,8700200,33579400,11090700,10242200,80902800,4139200,11945500,3791377,4561100,31792699,1373000,73641200,32937300,33834300,29644000,8551800
2020-06-09,147712400,29783900,33624000,468488000,27462900,22335000,2279300,4025600,8852500,18597300,17031100,77773400,51480400,2478400,15090400,30422900,851900,11529200,5517400,7580400,3061500,8247200,4302100,9555900,8846168,21675088,1672300,4857400,2683625,2403600,103520000,170823000,20746200,3716100,3728600,5385900,7999800,2923500,4472600,7887900,27276900,10745400,8203600,66688700,3819600,9964900,3903525,4567900,23603936,1977400,77479200,35046300,39646000,30176500,5512300
2020-06-10,166651600,43872300,31762000,632180000,20720700,25914000,3611600,8127200,7436700,18462400,24913300,90415300,82090000,3091200,14770900,36743700,779700,11641200,5747400,11590200,3296100,10137100,4940200,11138300,9080920,29557217,1140600,5829100,2889034,2851300,98920000,278451000,28141500,3589800,3459900,5194200,19683800,3653700,3708400,10910300,31156800,10486300,7882300,90384900,4018700,9765900,3511698,3793300,23465356,1311700,95000800,58084400,51774500,27492200,4680800
