Ticker,Name,Type,Data Points,Start Date,End Date,Start Price,End Price,Total Return,Annualized Return,Annualized Vol,Sharpe Ratio,Max Drawdown
AAPL,Apple Inc.,Stock,1381,2020-05-28,2025-11-21,$77.18,$271.49,251.8%,25.8%,29.4%,0.86,-33.4%
MSFT,Microsoft Corp,Stock,1381,2020-05-28,2025-11-21,$173.19,$472.12,172.6%,20.1%,26.4%,0.75,-37.1%
GOOGL,Alphabet Inc,Stock,1381,2020-05-28,2025-11-21,$70.43,$299.66,325.5%,30.2%,30.9%,0.95,-44.3%
NVDA,NVIDIA Corp,Stock,1381,2020-05-28,2025-11-21,$8.45,$178.88,2015.7%,74.5%,51.5%,1.30,-66.3%
META,Meta Platforms,Stock,1381,2020-05-28,2025-11-21,$224.08,$594.25,165.2%,19.5%,43.2%,0.58,-76.7%
AVGO,Broadcom Inc,Stock,1381,2020-05-28,2025-11-21,$24.82,$340.20,1270.7%,61.2%,40.6%,1.33,-41.1%
ADBE,Adobe Inc,Stock,1381,2020-05-28,2025-11-21,$379.83,$324.19,-14.6%,-2.8%,35.4%,0.04,-60.0%
CRM,Salesforce,Stock,1381,2020-05-28,2025-11-21,$179.21,$227.11,26.7%,4.4%,37.2%,0.25,-58.6%
ORCL,Oracle Corp,Stock,1381,2020-05-28,2025-11-21,$49.60,$198.76,300.7%,28.8%,37.0%,0.81,-40.4%
CSCO,Cisco Systems,Stock,1381,2020-05-28,2025-11-21,$38.68,$76.10,96.7%,13.1%,23.4%,0.56,-36.7%
JPM,JPMorgan Chase,Stock,1381,2020-05-28,2025-11-21,$86.06,$298.02,246.3%,25.4%,25.9%,0.93,-38.8%
BAC,Bank of America,Stock,1381,2020-05-28,2025-11-21,$21.71,$51.56,137.5%,17.1%,29.0%,0.62,-46.6%
WFC,Wells Fargo,Stock,1381,2020-05-28,2025-11-21,$24.05,$83.11,245.6%,25.4%,32.8%,0.79,-37.1%
GS,Goldman Sachs,Stock,1381,2020-05-28,2025-11-21,$176.42,$774.03,338.7%,31.0%,28.2%,1.03,-32.8%
