date,ticker,type,shares,price,target_weight,current_weight,drift
2025-04-02,AAPL,BUY,4,223.12701416015625,0.009210498,0.0,0.009210498072206974
2025-04-02,MSFT,BUY,2,380.102294921875,0.009210498,0.0,0.009210498072206974
2025-04-02,GOOGL,BUY,5,156.70994567871094,0.009210498,0.0,0.009210498072206974
2025-04-02,AMZN,BUY,4,196.00999450683594,0.009210498,0.0,0.009210498072206974
2025-04-02,META,BUY,1,583.0874633789062,0.009210498,0.0,0.009210498072206974
2025-04-02,NVDA,BUY,8,110.4061050415039,0.009210498,0.0,0.009210498072206974
2025-04-02,TSLA,BUY,23,282.760009765625,0.06657096,0.0,0.0665709599852562
2025-04-02,AVGO,BUY,5,171.39224243164062,0.009210498,0.0,0.009210498072206974
2025-04-02,ORCL,BUY,44,144.77850341796875,0.06487949,0.0,0.06487949192523956
2025-04-02,CRM,BUY,3,270.2142333984375,0.009210498,0.0,0.009210498072206974
2025-04-02,JPM,BUY,3,241.96737670898438,0.009210498,0.0,0.009210498072206974
2025-04-02,BAC,BUY,38,41.37468719482422,0.015793823,0.0,0.015793822705745697
2025-04-02,WFC,BUY,27,71.07234191894531,0.019882685,0.0,0.01988268457353115
2025-04-02,GS,BUY,1,557.3236694335938,0.009210498,0.0,0.009210498072206974
2025-04-02,MS,BUY,7,116.79326629638672,0.009210498,0.0,0.009210498072206974
2025-04-02,SCHW,BUY,11,77.89695739746094,0.009210498,0.0,0.009210498072206974
2025-04-02,AXP,BUY,3,272.95672607421875,0.009210498,0.0,0.009210498072206974
2025-04-02,C,BUY,50,70.3063735961914,0.03553248,0.0,0.035532478243112564
2025-04-02,USB,BUY,21,42.0885124206543,0.009210498,0.0,0.009210498072206974
2025-04-02,UNH,BUY,1,516.2550659179688,0.009210498,0.0,0.009210498072206974
2025-04-02,JNJ,BUY,8,152.91700744628906,0.013122804,0.0,0.013122804462909698
2025-04-02,LLY,BUY,1,813.5618896484375,0.009210498,0.0,0.009210498072206974
2025-04-02,ABBV,BUY,4,200.1273956298828,0.009210498,0.0,0.009210498072206974
2025-04-02,MRK,BUY,19,84.90284729003906,0.01647581,0.0,0.01647580973803997
2025-04-02,TMO,BUY,1,488.115478515625,0.009210498,0.0,0.009210498072206974
2025-04-02,ABT,BUY,7,130.1560821533203,0.009210498,0.0,0.009210498072206974
2025-04-02,DHR,BUY,8,204.47291564941406,0.018266862,0.0,0.018266862258315086
2025-04-02,PFE,BUY,39,23.414194107055664,0.009210498,0.0,0.009210498072206974
2025-04-02,BMY,BUY,16,57.40443801879883,0.009210498,0.0,0.009210498072206974
2025-04-02,WMT,BUY,10,89.33484649658203,0.009210498,0.0,0.009210498072206974
