Asset1,Asset2,Correlation
SPY,QQQ,0.9350643136601962
XOM,CVX,0.8718622850809987
HD,LOW,0.8513979523902985
XOM,COP,0.845038462482267
GS,MS,0.8439706194045661
JPM,BAC,0.842885412946707
CVX,COP,0.8396680578649721
SPY,IWM,0.8360383091037765
MSFT,QQQ,0.8304617863822861
BAC,C,0.8287538311125167
BAC,WFC,0.8280405329500631
TMO,DHR,0.8179131217849835
SPY,EFA,0.8065833600537922
JPM,C,0.7947299783315984
NVDA,QQQ,0.7935670998736578
JPM,GS,0.7862415345910037
AAPL,QQQ,0.7856780522556214
BAC,USB,0.7846560047558659
AMZN,QQQ,0.7831770180254691
WFC,C,0.7736083054669217
BAC,MS,0.7727844738519699
JPM,WFC,0.7727620353514848
BLK,SPY,0.7715860323221373
GS,C,0.769751928929494
BAC,GS,0.7662302172639869
JPM,MS,0.7612008424632334
MSFT,SPY,0.7610566881969116
MS,C,0.7575612570018463
WFC,USB,0.7529886132911734
IWM,EFA,0.7529420353212597
AAPL,SPY,0.7440154891122104
GOOGL,QQQ,0.7438372126276533
C,USB,0.726382242505198
QQQ,IWM,0.7258726483485697
JPM,USB,0.7241106752735056
WFC,GS,0.7239896851499457
AVGO,QQQ,0.7189367458560791
WFC,MS,0.7147679024697753
BAC,AXP,0.7140868946961929
BLK,IWM,0.7138948613761057
JPM,AXP,0.7107785497696224
QQQ,EFA,0.7094531340559309
BLK,EFA,0.7062372526863118
MS,IWM,0.7041126853235823
GS,IWM,0.7038704864604335
ADBE,QQQ,0.7017419040359654
AMZN,SPY,0.7011054114768318
META,QQQ,0.6962316269194236
GOOGL,SPY,0.6940705460281144
NVDA,SPY,0.6886271097699801
MS,USB,0.6842133719300048
MS,SPY,0.6808526535743794
MS,AXP,0.6779044878035575
AXP,IWM,0.6772347725991203
GS,SPY,0.6757955630938538
BLK,QQQ,0.675419853247897
GS,USB,0.6737339414591043
AXP,USB,0.6729170204015412
WFC,AXP,0.6719444604166881
C,AXP,0.6715231559543474
MSFT,AMZN,0.6692371464441582
GS,AXP,0.6661573605289425
MS,BLK,0.665535619328345
C,IWM,0.6653232087220703
BAC,IWM,0.6640697843890199
MSFT,GOOGL,0.6613780678547995
AXP,SPY,0.6612496453536352
USB,IWM,0.6578770400026311
AVGO,SPY,0.6578415942596934
NVDA,AVGO,0.6528890562519758
CAT,DE,0.6517763540941127
BAC,SCHW,0.6485381427695586
HON,SPY,0.647017462762037
AAPL,MSFT,0.6455331722097037
CRM,QQQ,0.643834421950194
GS,BLK,0.6425214079179873
MSFT,NVDA,0.6405932170422648
TSLA,QQQ,0.6315960825416103
CAT,IWM,0.6309751082500734
MS,EFA,0.6287338910548164
ADBE,SPY,0.6281369685936392
MS,SCHW,0.6280286941075094
HON,IWM,0.6263746582721671
MSFT,ADBE,0.6252518799583818
GS,EFA,0.6242274973137826
JPM,IWM,0.6229129074992246
META,SPY,0.6221687350634547
GOOGL,AMZN,0.6208310218218509
ADBE,CRM,0.6201127571327082
CSCO,SPY,0.6192458078594371
WFC,IWM,0.6180017490086044
HD,SPY,0.613254800738727
JPM,SPY,0.6121783984915375
C,SPY,0.6114730769508346
META,AMZN,0.6114535897126582
BAC,BLK,0.6092171143856127
SCHW,USB,0.6082623479130198
WFC,SCHW,0.604102576504516
AXP,EFA,0.6032371518541013
CRM,SPY,0.6025301757558456
BAC,SPY,0.6012176050878892
JPM,BLK,0.5983871359803867
BLK,AXP,0.5965359546248008
C,EFA,0.5940835744643339
MSFT,META,0.5937777890078022
BA,IWM,0.5906697233867062
GS,CAT,0.5888156927208988
GS,SCHW,0.5854381563857529
MS,CAT,0.5842816786694695
JPM,SCHW,0.5826456900663356
HON,EFA,0.5808643945596275
HD,IWM,0.5776218320718834
AAPL,AMZN,0.577517289080925
GOOGL,META,0.5745770188403645
GE,IWM,0.5744458922264901
C,BLK,0.5736378795289176
LOW,SPY,0.5707199379399681
JPM,CAT,0.5692620701561988
SBUX,SPY,0.5681909481723925
NVDA,AMZN,0.5669931497148776
AAPL,GOOGL,0.5667298561494974
MSFT,CRM,0.566551749594381
CAT,SPY,0.5663339245531998
BLK,HON,0.5661413927473954
BAC,EFA,0.5660685637954597
BLK,HD,0.5653244682386565
ADBE,AMZN,0.5636918406794578
BAC,CAT,0.5635922062116512
C,CAT,0.5634136481180395
LOW,IWM,0.5630289149124954
JPM,EFA,0.561323902268763
BLK,USB,0.5609846368874734
USB,SPY,0.5571430031874448
AXP,HON,0.5568509630360086
DHR,SPY,0.5561137286509324
SCHW,IWM,0.5557856139666609
GE,SPY,0.5540492164077747
AXP,CAT,0.551920566665295
TSLA,SPY,0.5510600686149331
WFC,SPY,0.5506888254431394
JPM,HON,0.5504444582759492
C,SCHW,0.5499050269187197
BA,EFA,0.5496387247974615
CAT,EFA,0.5492677364877582
USB,CAT,0.5487666552548577
DE,IWM,0.5476459549013287
NKE,SPY,0.5464931044868281
TMO,SPY,0.5460274814639867
BA,SPY,0.5454216669991488
WFC,BLK,0.5453392045427136
CSCO,QQQ,0.5448524955331595
SCHW,AXP,0.5424761060386485
AXP,GE,0.5424087449236966
JPM,GE,0.5417433259144011
CRM,AMZN,0.541683414666586
AXP,BA,0.5413550988225355
TJX,IWM,0.5397168714193022
BA,RTX,0.5391246250466942
MSFT,EFA,0.5386133234351281
TJX,SPY,0.5370354541993583
BA,GE,0.5363848934626647
AAPL,EFA,0.5362691282537595
BLK,LOW,0.536201127528796
GS,GE,0.5361008317935586
USB,EFA,0.5355745986129242
CAT,HON,0.5351779691302926
AAPL,ADBE,0.534616376105036
C,GE,0.5344327166737798
AAPL,IWM,0.5343692036467136
MSFT,BLK,0.5342879808401503
MS,QQQ,0.5336998222190233
GOOGL,NVDA,0.5335379166444066
GS,HON,0.5327551458131098
NVDA,ADBE,0.5323603278858413
HD,QQQ,0.5320311301826594
GE,EFA,0.5295836060936204
MSFT,AVGO,0.5291053592886245
AAPL,NVDA,0.528508733518652
GOOGL,ADBE,0.5283553525830998
MS,GE,0.5282958675074432
BAC,HON,0.5282234265825024
AAPL,BLK,0.5280491496361336
USB,HON,0.5271057470384748
CVX,CAT,0.5264372640166739
MS,HON,0.5260585776989002
GS,QQQ,0.5248492712991806
BLK,SCHW,0.5233511526169986
C,BA,0.5216132380591796
WFC,EFA,0.5194385543510311
CSCO,IWM,0.516951989974055
RTX,HON,0.5163303493425372
CAT,GE,0.5159068818532875
SBUX,EFA,0.5148347276521215
GOOGL,EFA,0.5143933276952173
UPS,SPY,0.5140015011619274
BAC,GE,0.5137881723645475
AVGO,IWM,0.5107422844406072
TMO,QQQ,0.5098618158325985
C,HON,0.5097879253984519
AMZN,IWM,0.509385680842391
SBUX,IWM,0.5089774843309359
HD,EFA,0.5089583726825615
DHR,QQQ,0.5086973045765333
HON,GE,0.5084262051433095
WFC,CAT,0.5084102929056493
SBUX,QQQ,0.5076366505261175
AAPL,META,0.5067749872106911
SCHW,SPY,0.5059071620243694
WFC,GE,0.5051693122607352
BAC,CVX,0.5050741461901416
NVDA,EFA,0.5041783392051024
NVDA,META,0.5029210221283505
AXP,RTX,0.502663794558505
AXP,TJX,0.5021715692414713
C,CVX,0.5008615182206735
LOW,QQQ,0.5007534167763312
HD,TGT,0.5004290184042222
NKE,IWM,0.4996938824417742
AXP,QQQ,0.4996456693623635
BLK,CAT,0.4990738730306688
MSFT,IWM,0.498862530287978
TJX,EFA,0.4976573803579886
BA,HON,0.4971469282535821
WFC,HON,0.49673922868056636
META,ADBE,0.496418436592269
GOOGL,IWM,0.49637089201447737
NVDA,IWM,0.4963221662831503
RTX,IWM,0.49399804520228807
BAC,BA,0.49328734219326836
TMO,ABT,0.492583621521607
COP,CAT,0.4925430601637144
JPM,TJX,0.49223879865691383
AMZN,EFA,0.4919938304685104
TJX,HON,0.49163299687240214
JPM,BA,0.49126368496777023
AAPL,TSLA,0.489833836216381
ORCL,SPY,0.489339068403432
JPM,RTX,0.4892006398752107
DE,SPY,0.4890092904097096
AVGO,EFA,0.488406874901696
TSLA,IWM,0.48821954578488735
NKE,QQQ,0.4878865653562662
XOM,CAT,0.48758895744270847
HON,QQQ,0.48727057137326546
CSCO,BLK,0.48718767190643336
C,COP,0.4871805860373777
CRM,IWM,0.486767068075854
CSCO,EFA,0.4858919817085387
NKE,EFA,0.4857799569252359
CVX,IWM,0.484547610664427
BLK,AMZN,0.48440011293004115
GS,BA,0.4841653043369649
WFC,BA,0.48363463635503723
GOOGL,BLK,0.48347474825514103
BAC,COP,0.4834598822097244
RTX,GE,0.4826901860537904
C,XOM,0.4816268831232566
MS,DE,0.48095454735760257
JPM,CVX,0.4805704221199614
LOW,EFA,0.48047241398826057
COP,RTX,0.4803226211641489
BAC,XOM,0.48016606785091487
NVDA,CRM,0.4796883144954783
MS,BA,0.47905155224262824
HON,DE,0.47858368230507176
BLK,SBUX,0.4780385155034066
UPS,IWM,0.4771403277979582
BLK,DHR,0.47665499834183783
NKE,SBUX,0.4765538341456917
AVGO,AMZN,0.47640901005341335
ABT,DHR,0.47493294826288907
DHR,EFA,0.4746728336128209
MS,CVX,0.47375193558719914
GS,DE,0.4727044573108328
NVDA,BLK,0.47254146093169297
AAPL,AVGO,0.4720546903696287
BLK,GE,0.4720378876605429
ADBE,BLK,0.469805768520292
