,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-30,2023-03-31,2023-06-30,2023-09-29,2023-12-29,2024-03-28,2024-06-28,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
AAPL,0.002784800711849996,0.002566064225998832,0.002682732617760851,0.0034790235312282384,0.0037877111761854087,0.005610215500419154,0.0052194629966653625,0.005447899672491808,0.00727441184888258,0.007168172162997617,0.011091350447668834,0.013768074457293722,0.009312491025711795,0.01170715103314768,0.011878141613667171,0.007587181141483682,0.0049812136187736165,0.004596741438062318
ABBV,0.005771822956628514,0.012197792394662113,0.009276171617659425,0.009661545158619849,0.02576804279604926,0.04237718216011264,0.04052100293324713,0.036288822376961405,0.034015762139866255,0.038057159587372345,0.01646196967844585,0.025844836958106195,0.015252640352872831,0.017631343181909263,0.017425870242651943,0.009542447644080817,0.0082098944389919,0.008772873204503043
ABT,0.005671342958983076,0.00626768743787778,0.010420696079316357,0.009784272765199276,0.008548631780658593,0.015962959225238074,0.020967306770863392,0.01071622421367246,0.01640325665152963,0.019069685297030466,0.014064464239992743,0.028276133686792115,0.012540891005618327,0.02588624661372798,0.02277560882763691,0.01214891425795183,0.01830990700064892,0.011624054975783957
ADBE,0.003015510482760571,0.0035273607140961774,0.0029990829310557014,0.0019042060419088627,0.002670027241056013,0.003023959721814981,0.003518114122467267,0.004099544479002762,0.0045108401891097855,0.004426698922648528,0.005015476403291186,0.003572054564355713,0.004600472065875706,0.006965297163651409,0.005020386650931891,0.005769349906757648,0.005674341688585212,0.007481375194397353
AGG,0.701468888192289,0.710425925507141,0.708986962028383,0.6221677408538698,0.5497792086869393,0.45818240459181897,0.3932441247058392,0.34890972781547136,0.30700743654113505,0.3014834032840112,0.2945056155039575,0.2741822405352281,0.23439450725946678,0.3273955741351642,0.36349621132951265,0.46011631161591837,0.5828270988734713,0.61690736065673
AMGN,0.004464940028694011,0.007402558509393823,0.008618778675256083,0.008074474364642937,0.027640038937502137,0.01964849337979763,0.04407354003446135,0.0399405837769451,0.023119207820203456,0.019873311676981333,0.014676958951774089,0.019838994140649262,0.018470362213491104,0.013854583419926243,0.01105142781058363,0.00888090588122904,0.009697264136970016,0.0066509042059946875
AMZN,0.006881911989582309,0.003884849032389039,0.0031467889496085526,0.002642588328829635,0.004064726139506605,0.002783880658337787,0.002777673696105736,0.006167509106189515,0.003701051064861078,0.004328951113415214,0.005789517288978741,0.007334332161814512,0.004668022901052945,0.004464142537482728,0.006429514552901931,0.003819049042618547,0.002556159339669296,0.004701826948084547
AVGO,0.0019759533097763633,0.001975274743847439,0.002590338259533754,0.0028361404021004437,0.004151211181540268,0.0074059062225330955,0.004991031240232991,0.005301920000643622,0.00601523617877607,0.0053565540997697995,0.006921920794424367,0.004531680382973365,0.0031263597824404293,0.002247224977268515,0.0011152938398037578,0.0015494287289620431,0.0020647191150712486,0.0015271268001448373
AXP,0.00491266862434618,0.004232447989199117,0.0021208437159113912,0.003476724179954207,0.005517938744694592,0.006576487853470287,0.0060789776572221736,0.006588325953347936,0.007327124117577129,0.006993936072149475,0.00660190456187935,0.006945089535711161,0.013039772659021292,0.010734039510776045,0.006031464489832927,0.004730488426245882,0.002565823446776329,0.002994481910422434
BA,0.0035655997636870797,0.0019384454496803364,0.001348991052536069,0.0024913820506017076,0.002403672760921971,0.0032555850609809664,0.004164952559821635,0.005167737586898686,0.013263359480650331,0.009632891050871267,0.008464176632419511,0.014754325510142186,0.011800168067082301,0.011050198445201435,0.007970350333557124,0.011596051945685854,0.0030800200502397383,0.0034295917894591067
